index,brand,part_number,duration_type,duration,lift,lsa,description
1,Trick Flow Specialties,TFS-51403001,adv,275/279,0.499/0.510,112,"Camshaft, Hydraulic Roller, Advertised Duration 275/279, Lift .499/.510, Lobe Sep. 112, Small Ford, 5.0L, Each"
2,Summit Racing,SUM-3610,adv,310/310,0.228/0.228,,"Muscle Car Camshaft, 289 HIPO, Mechanical Flat Tappet, 2,000-4,800 RPM Range, Advertised Duration 310 int./310 exh., Lift 228 int./228 exh., Ford,Each"
3,Summit Racing,SUM-8900,unspecified,220/231,,113,"Summit E303 Plus Hyd. Roller Cam, 220/231 Duration, 113 LSA + 0 Adv, .550/.540 1.6 Ratio, .585/.574 1.7 Ratio, 2500-6000 Range, 85-1996 Roller Block"
4,Ford Performance Parts,FMS-M-6250-E303,adv,282/282,0.498/0.498,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 282/282, Lift .498/.498, Ford, Windsor, Each"
5,Trick Flow Specialties,TFS-51403002,adv,286/294,0.542/0.563,112,"Camshaft, Hydraulic Roller, Advertised Duration 286/294, Lift .542/.563, Lobe Sep. 112, Small Ford, 5.0L, Each"
6,Summit Racing,SUM-8901,unspecified,224/232,,114,"Summit B303 Plus Hyd. Roller Cam, 224/232 Duration, 114 LSA + 3 Adv, .550/.540 1.6 Ratio, .585/.574 1.7 Ratio, 2800-6300 Range, '85-1996 Roller Block"
7,Summit Racing,SUM-8902,unspecified,226/234,,114,"Summit F303 Plus Hyd. Roller Cam, 226/234 Duration, 114 LSA + 4 Adv, .550/.540 1.6 Ratio, .585/.574 1.7 Ratio, 3000-6500 Range, '85-1996 Roller Block"
8,Ford Performance Parts,FMS-M-6250-B303,adv,284/284,0.480/0.480,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 284/284, Lift .480/.480, Ford, 5.0L, Each"
9,Trick Flow Specialties,TFS-51403005,adv,312/316,0.595/0.595,110,"Camshaft, Hydraulic Roller, Advertised Duration 312/316, Lift .595/.595, Lobe Sep. 110, Small Ford, 5.0L, Each"
10,Trick Flow Specialties,TFS-51403003,adv,298/310,0.574/0.595,110,"Camshaft, Hydraulic Roller, Advertised Duration 298/310, Lift .574/.595, Lobe Sep. 110, Small Ford, 5.0L, Each"
11,Summit Racing,SUM-1790,adv,274/274,0.485/0.485,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 274/274, Lift .485/.485, Ford, Small Block, Each"
12,Ford Performance Parts,FMS-M-6250-F303,adv,288/288,0.512/0.512,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 288/288, Lift .512/.512, Ford, Small Block, Each"
13,Summit Racing,SUM-4400,adv,280/290,0.449/0.473,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 280/290, Lift .449/.473, Ford, 5.0L HO, 5.8L, Each"
14,Summit Racing,SUM-8904,unspecified,204/214,0.550/0.550,113,"Pro SBF Best Hydraulic Roller Cam 1, 204/214 Duration, 113 LSA + 0 Adv. .550/.550 lift 1.6 ratio, .587/.587 1.7 ratio, Idle to 5,800 basic rpm, 85-95"
15,COMP Cams,CCA-35-522-8,adv,282/290,0.565/0.574,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 282/290, Lift .565/.574, Ford, Small Block, Each"
16,Summit Racing,SUM-3601,adv,278/290,0.471/0.471,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 278/290, Lift .471/.471, Ford, Small Block, Each"
