index,brand,part_number,duration_type,duration,lift,lsa,description
101,COMP Cams,CCA-35-302-8,adv,281/284,0.512/0.533,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 281/284, Lift .512/.533, Ford, 5.0L HO, Each"
102,COMP Cams,CCA-35-234-3,adv,256/262,0.477/0.484,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 256/262, Lift .477/.484, Ford, 351W, Each"
103,COMP Cams,CCA-35-242-3,adv,268/280,0.510/0.512,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 268/280, Lift .510/.512, Ford, 351W, Each"
104,Edelbrock,EDL-3722,adv,282/282,0.498/0.498,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 282/282, Lift .498/.498, Ford, 5.0L, Each"
105,Howards Cams,HRS-220031-12,adv,269/277,0.475/0.496,,"Camshaft, Street Force 2, Hydraulic Flat Tappet, Advertised Duration 269/277, Lift .475/.496, Ford, 351W, Each"
106,Howards Cams,HRS-220275-12,adv,294/300,0.581/0.603,,"Camshaft, Retrofit, Hydraulic Roller Tappet, Advertised Duration 294/300, Lift .581/.603, Ford, 351W, Each"
107,Howards Cams,HRS-210951-10,adv,275/285,0.501/0.501,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 275/285, Lift .501/.501, Ford, 221, 255, 260, 289, 302"
108,Howards Cams,HRS-217322-14,adv,310/310,0.477/0.477,,"Camshaft, Mechanical Flat Tappet, Advertised Duration 310/310, Lift .477/.477, Ford, 221, 255, 260, 289, 302"
109,COMP Cams,CCA-35-556-8,adv,274/286,0.555/0.570,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 274/286, Lift .555/.570, Ford, 5.0L HO, Each"
110,COMP Cams,CCA-35-780-9,adv,298/312,0.696/0.672,,"Camshaft, Mechanical Roller Tappet, Advertised Duration 298/312, Lift .696/.672, Ford, 351W, Each"
111,Melling,MEL-SYB-26,adv,257/269,0.379/0.395,,"Camshaft, Class 1, Hydraulic Flat Tappet, 257/269 Advertised Duration, .379/.395 Lift, Ford, 255, 302, Each"
112,COMP Cams,CCA-35-235-3,adv,254/262,0.477/0.493,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 254/262, Lift .477/.493, Ford, 351W, Each"
113,COMP Cams,CCA-35-238-3,adv,262/270,0.493/0.500,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 262/270, Lift .493/.500, Ford, 351W, Each"
114,COMP Cams,CCA-31-230-3,adv,250/260,0.460/0.474,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 250/260, Lift .460/.474, Ford, Small Block, Each"
115,Melling,MEL-24226,,,,,CAMSHAFT-ENGINE
116,Melling,MEL-24305,,,,,CAMSHAFT-ENGINE
117,COMP Cams,CCA-35-831-9,unspecified,288/300,0.704/0.672,106,"Camshaft, Mechanical Roller, Duration 288 Int./300 Exh., Lift 0.704 Int./0.672 Exh., Lobe Separation 106, Ford, 351W, Each"
118,COMP Cams,CCA-35-776-8,adv,304/314,0.608/0.608,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 304/314, Lift .608/.608, Ford, 5.0L HO, Each"
119,COMP Cams,CCA-35-231-3,adv,250/258,0.448/0.483,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 250/258, Lift .448/.483, Ford, 351W, Each"
120,Melling,MEL-24107,,,,,"Camshaft, Replacement, Hydraulic Flat Tappet, Ford, Marine, Small Block, Each"
121,COMP Cams,CCA-35-600-4,adv,279/297,0.490/0.475,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 279/297, Lift .490/.475, Ford, 351W, Each"
122,COMP Cams,CCA-35-601-4,,,,,Camshaft; Mutha Thumpr; Camshaft; Hydraulic Flat Tappet; 2200-6100rpm; Adver. Dur. 287 Int./305 Exh.; Val
123,COMP Cams,CCA-31-234-3,adv,256/268,0.477/0.484,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 256/268, Lift .477/.484, Ford, Small Block, Each"
124,Summit Racing,SUM-3610,adv,310/310,0.228/0.228,,"Muscle Car Camshaft, 289 HIPO, Mechanical Flat Tappet, 2,000-4,800 RPM Range, Advertised Duration 310 int./310 exh., Lift 228 int./228 exh., Ford,Each"
125,COMP Cams,CCA-35-562-44,,,0.610/0.606,,"Camshaft, Hydraulic Roller, 283/281 intake, 295/293 Exhaust, .622/.619 in. Intake Lift, .610/.606 in. Exhaust"
126,COMP Cams,CCA-35-871-13,unspecified,277/290,0.577/0.579,111,"Camshaft, Hydraulic Roller, Duration 277 Int./290 Exh., Lift 0.577 Int./0.579 Exh., Lobe Separation 111, Ford, 5.0L, Each"
127,COMP Cams,CCA-35-312-8,adv,276/280,0.544/0.560,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 276/280, Lift .544/.560, Ford, 5.0L HO, Each"
128,Howards Cams,HRS-210021-12,adv,259/267,0.448/0.480,,"Camshaft, Street Force 1, Hydraulic Flat Tappet, Advertised Duration 259/267, Lift .448/.480, Ford, 221, 255, 260, 289, 302"
129,COMP Cams,CCA-31-250-4,adv,284/296,0.541/0.544,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 284/296, Lift .541/.544, Ford, Small Block, Each"
130,Melling,MEL-24224,,,,,CAMSHAFT-ENGINE
131,COMP Cams,CCA-35-246-3,adv,274/286,0.519/0.523,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 274/286, Lift .519/.523, Ford, 351W, Each"
132,COMP Cams,CCA-35-239-3,adv,262/270,0.493/0.512,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 262/270, Lift .493/.512, Ford, 351W, Each"
